id,npart,ntheta,nphi
805306368,0,0,0
805306369,0,0,1
805306370,0,0,2
805306371,0,0,3
805306372,0,0,4
805306373,0,0,5
805306374,0,0,6
805306375,0,0,7
805306376,0,0,8
805306377,0,0,9
805306378,0,0,10
805306379,0,0,11
805306380,0,0,12
805306381,0,0,13
805306382,0,0,14
805306383,0,0,15
805306384,0,0,16
805306385,0,0,17
805306386,0,0,18
805306387,0,0,19
805306388,0,0,20
805306389,0,0,21
805306390,0,0,22
805306391,0,0,23
805306392,0,0,24
805306393,0,0,25
805306394,0,0,26
805306395,0,0,27
805306396,0,0,28
805306397,0,0,29
805306398,0,0,30
805306399,0,0,31
805306400,0,0,32
805306401,0,0,33
805306402,0,0,34
805306403,0,0,35
805306404,0,0,36
805306405,0,0,37
805306406,0,0,38
805306407,0,0,39
805306408,0,0,40
805306409,0,0,41
805306410,0,0,42
805306411,0,0,43
805306412,0,0,44
805306413,0,0,45
805306414,0,0,46
805306415,0,0,47
805306416,0,0,48
805306417,0,0,49
805306418,0,0,50
805306419,0,0,51
805306420,0,0,52
805306421,0,0,53
805306422,0,0,54
805306423,0,0,55
805306424,0,0,56
805306425,0,0,57
805306426,0,0,58
805306427,0,0,59
805306428,0,0,60
805306429,0,0,61
805306430,0,0,62
805306431,0,0,63
805306624,0,1,0
805306625,0,1,1
805306626,0,1,2
805306627,0,1,3
805306628,0,1,4
805306629,0,1,5
805306630,0,1,6
805306631,0,1,7
805306632,0,1,8
805306633,0,1,9
805306634,0,1,10
805306635,0,1,11
805306636,0,1,12
805306637,0,1,13
805306638,0,1,14
805306639,0,1,15
805306640,0,1,16
805306641,0,1,17
805306642,0,1,18
805306643,0,1,19
805306644,0,1,20
805306645,0,1,21
805306646,0,1,22
805306647,0,1,23
805306648,0,1,24
805306649,0,1,25
805306650,0,1,26
805306651,0,1,27
805306652,0,1,28
805306653,0,1,29
805306654,0,1,30
805306655,0,1,31
805306656,0,1,32
805306657,0,1,33
805306658,0,1,34
805306659,0,1,35
805306660,0,1,36
805306661,0,1,37
805306662,0,1,38
805306663,0,1,39
805306664,0,1,40
805306665,0,1,41
805306666,0,1,42
805306667,0,1,43
805306668,0,1,44
805306669,0,1,45
805306670,0,1,46
805306671,0,1,47
805306672,0,1,48
805306673,0,1,49
805306674,0,1,50
805306675,0,1,51
805306676,0,1,52
805306677,0,1,53
805306678,0,1,54
805306679,0,1,55
805306680,0,1,56
805306681,0,1,57
805306682,0,1,58
805306683,0,1,59
805306684,0,1,60
805306685,0,1,61
805306686,0,1,62
805306687,0,1,63
805306880,0,2,0
805306881,0,2,1
805306882,0,2,2
805306883,0,2,3
805306884,0,2,4
805306885,0,2,5
805306886,0,2,6
805306887,0,2,7
805306888,0,2,8
805306889,0,2,9
805306890,0,2,10
805306891,0,2,11
805306892,0,2,12
805306893,0,2,13
805306894,0,2,14
805306895,0,2,15
805306896,0,2,16
805306897,0,2,17
805306898,0,2,18
805306899,0,2,19
805306900,0,2,20
805306901,0,2,21
805306902,0,2,22
805306903,0,2,23
805306904,0,2,24
805306905,0,2,25
805306906,0,2,26
805306907,0,2,27
805306908,0,2,28
805306909,0,2,29
805306910,0,2,30
805306911,0,2,31
805306912,0,2,32
805306913,0,2,33
805306914,0,2,34
805306915,0,2,35
805306916,0,2,36
805306917,0,2,37
805306918,0,2,38
805306919,0,2,39
805306920,0,2,40
805306921,0,2,41
805306922,0,2,42
805306923,0,2,43
805306924,0,2,44
805306925,0,2,45
805306926,0,2,46
805306927,0,2,47
805306928,0,2,48
805306929,0,2,49
805306930,0,2,50
805306931,0,2,51
805306932,0,2,52
805306933,0,2,53
805306934,0,2,54
805306935,0,2,55
